country,year,pop,continent,lifeExp,gdpPercap
apagon,1/1/16,6,Event,0.003886,-0.0009531
apagon,4/1/16,10,Event,0.006476,-0.00083
apagon,7/1/16,2,Event,0.001295,-0.0011138
apagon,10/1/16,23,Event,0.014896,-0.0009871
apagon,10/1/17,23,Event,0.014896,-0.0006095
apagon,1/1/18,34,Event,0.02202,-0.0004915
apagon,4/1/18,6,Event,0.003886,-0.0010679
apagon,7/1/18,95,Event,0.061528,5.00E-05
apagon,10/1/18,15,Event,0.009715,-0.0007006
apagon,11/1/18,11,Event,0.007124,-0.0008423
apagon,12/1/18,7,Event,0.004533,-0.0010068
apagon,1/1/19,27,Event,0.017487,-0.0008318
apagon,2/1/19,41,Event,0.026554,-0.0007687
apagon,3/1/19,1244,Event,0.805699,0.0128912
asamblea,1/1/16,182,Event,0.10033,0.0030476
asamblea,4/1/16,101,Event,0.055678,-0.0001997
asamblea,7/1/16,62,Event,0.034178,-0.0017844
asamblea,10/1/16,428,Event,0.235942,-0.000187
asamblea,10/1/17,48,Event,0.02646,-0.0025052
asamblea,1/1/18,52,Event,0.028665,-0.0026402
asamblea,4/1/18,77,Event,0.042447,-0.00231
asamblea,7/1/18,98,Event,0.054024,-0.0024219
asamblea,10/1/18,40,Event,0.02205,-0.0024203
asamblea,11/1/18,44,Event,0.024255,-0.0023546
asamblea,12/1/18,42,Event,0.023153,-0.0026756
asamblea,1/1/19,306,Event,0.168687,0.0002052
asamblea,2/1/19,209,Event,0.115214,-0.0016138
asamblea,3/1/19,125,Event,0.068908,-0.0022722
bolivar,1/1/16,137,Regional,0.03322,-0.0024283
bolivar,4/1/16,120,Regional,0.029097,-0.003355
bolivar,7/1/16,113,Regional,0.0274,-0.0040316
bolivar,10/1/16,525,Regional,0.127303,-0.0032052
bolivar,10/1/17,218,Regional,0.052861,-0.0021355
bolivar,1/1/18,167,Regional,0.040494,-0.0041392
bolivar,4/1/18,210,Regional,0.050921,-0.0037448
bolivar,7/1/18,473,Regional,0.114694,-0.001397
bolivar,10/1/18,144,Regional,0.034917,-0.0029415
bolivar,11/1/18,218,Regional,0.052861,-0.0009017
bolivar,12/1/18,215,Regional,0.052133,-0.0023262
bolivar,1/1/19,488,Regional,0.118331,-0.0012917
bolivar,2/1/19,712,Regional,0.172647,-0.0004386
bolivar,3/1/19,384,Regional,0.093113,-0.0031547
chamo,1/1/16,27,Slang,0.01505,0.0001254
chamo,4/1/16,39,Slang,0.021739,0.0004726
chamo,7/1/16,51,Slang,0.028428,0.0006905
chamo,10/1/16,294,Slang,0.163879,0.0015298
chamo,10/1/17,54,Slang,0.0301,0.0004545
chamo,1/1/18,79,Slang,0.044035,0.0007148
chamo,4/1/18,110,Slang,0.061315,0.0010918
chamo,7/1/18,176,Slang,0.098104,0.0013962
chamo,10/1/18,80,Slang,0.044593,0.0016572
chamo,11/1/18,82,Slang,0.045707,0.0016072
chamo,12/1/18,97,Slang,0.054069,0.0014593
chamo,1/1/19,229,Slang,0.127647,0.0020383
chamo,2/1/19,255,Slang,0.14214,0.0016544
chamo,3/1/19,221,Slang,0.123188,0.0016254
chavez,1/1/16,200,Politician,0.051586,0.0043775
chavez,4/1/16,144,Politician,0.037142,0.0019485
chavez,7/1/16,132,Politician,0.034046,0.0010262
chavez,10/1/16,616,Politician,0.158885,0.0020138
